STATE,STATE_FIPS,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,BEGIN_LAT,BEGIN_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,14.00K,34.71,-80.72,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,"Dispatch reported straight line wind damage, including an awning on Adam Lane, a downed tree on King Mill Road, and powerlines down on Flat Creek Road."
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,12.00K,34.72,-80.75,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Dispatch reported a large carport and shed blown down on Fairfield Street in Lancaster.
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,33.86,-80.05,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,EM reported trees down on Pudding Swamp Road.
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,33.25,-81.65,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Savannah River Site wind tower at the North Area measured a 78 mph wind gust. Note...the tower anemometer is 200 feet above the ground.
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,33.21,-81.66,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Savannah River Site wind tower at the K Area measured a 59 mph wind gust.  Note the tower anemometer is 200 feet above the ground.
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,6.00K,33.54,-80.2,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,EM reported trees down on Patriot Road and Hwy 260.
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,4.00K,33.64,-80.07,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,EM reported trees down on Greeleyville Hwy near Foreston Hwy.
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,18.00K,33.99,-81.03,Thunderstorms over Richland County produced 2 to 4 inches of rain within 1 to 2 hours producing flash flooding in Columbia. A couple of vehicles became trapped in the flooding when trying to drive through the flooded areas.,Columbia Police reported flooding at the intersection of Main and Whaley trapping a car.  The occupants escaped before the flood waters rose to 4 feet above the roads.
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,16.00K,34.72,-80.75,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Dispatch reported a tree fell onto a home on Fairfield Street in Lancaster.
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,16.00K,33.9872,-81.0437,Thunderstorms over Richland County produced 2 to 4 inches of rain within 1 to 2 hours producing flash flooding in Columbia. A couple of vehicles became trapped in the flooding when trying to drive through the flooded areas.,"Richland County EM reported flooding on several streets in downtown Columbia including Harden, Rosewood, Lyon, and Calhoun streets. One car was trapped when the water rose 3 feet above the road. The occupants were able to get safely to higher ground."
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,1.00K,33.9102,-80.6532,Thunderstorms over Richland County produced 2 to 4 inches of rain within 1 to 2 hours producing flash flooding in Columbia. A couple of vehicles became trapped in the flooding when trying to drive through the flooded areas.,NWS storm survey found a couple of trees down on Pine Thicket Road.
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,4.00K,34.09,-80.95,Rainfall amounts of 1 to 3 inches over central Richland County produced areas of flash flooding in Columbia closing several streets and stranding some vehicles.,Sheriff reported the intersecton of Legrand and Pinnacle Point Drive do to flash flooding.  Water levels were 1 to 3 feet deep.
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,2.00K,33.92,-80.36,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Roadway flooding reported by public temporarily closing some.
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,2.00K,33.93,-80.31,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,SKYWARN spotter reported roadway flooding at US 76 and US 378 temporarily closing them.
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,18.00K,33.94,-80.72,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Highway Patrol reported a vehicle encountered a flooded roadway and ended up going off the road into a ditch near Garners Ferry Road and Pond Drive.
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,62.00K,33.99,-80.71,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Images relayed from a trained spotter via social media showed road wash outs and flooded landscape. Murray Pond flooded and water went into residential properties.
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,16.00K,33.94,-80.69,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Business owner reported flooding under Hwy 378 overpass at Hwy 601. Minor water damage to the interior rooms of the business.
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,2.00K,33.93,-80.31,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,SKYWARN spotter reported intersection of US 76 and US 378 Flooded and impassable by heavy rains.
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,2.00K,33.92,-80.36,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Public reported several roads flooded and closed.
