ID,deaths_r,deaths_nr,deaths,pestfield,dis_pestf,dis_sewers,dis_bspump,death_dum,COORD_X,COORD_Y
1,100,0,100,1,10.080000000000000,10.080000000000000,125.000000000000000,1,531286.397348988,181084.117356811000000
2,1,0,1,1,14.640000000000000,14.640000000000000,119.940000000000000,1,529289.814975724000000,181079.748105530000000
3,0,0,0,1,18.470000000000000,18.470000000000000,116.270000000000000,0,529291.730636904000000,181075.340644469000000
4,0,0,0,1,22.980000000000000,22.980000000000000,112.560000000000000,0,529293.511414537000000,181070.327563573000000
5,0,0,0,1,27.470000000000000,27.470000000000000,109.100000000000000,0,529295.355045436000000,181065.797833358000000
6,5,0,5,1,32.210000000000000,32.210000000000000,105.540000000000000,1,529297.423975696000000,181061.273835793000000
7,1,0,1,1,42.770000000000000,42.770000000000000,101.430000000000000,1,529300.171861234000000,181056.646675531000000
8,0,0,0,1,36.430000000000000,36.430000000000000,97.560000000000000,0,529302.427744644000000,181050.682183083000000
9,0,0,0,1,31.480000000000000,31.480000000000000,94.080000000000000,0,529304.872181553000000,181046.167742170000000
10,0,0,0,1,32.310000000000000,32.310000000000000,112.860000000000000,0,529286.446605292000000,181000.330925070000000
11,0,0,0,1,24.910000000000000,24.910000000000000,111.190000000000000,0,529289.868293883000000,180993.759381020000000
12,0,0,0,1,20.730000000000000,20.730000000000000,110.200000000000000,0,529292.037407034000000,180990.152338743000000
13,0,0,0,1,15.970000000000000,15.970000000000000,108.990000000000000,0,529294.771411273000000,180986.115762552000000
14,0,0,0,1,8.720000000000000,8.720000000000000,107.900000000000000,0,529298.674700051000000,180979.667452641000000
15,0,0,0,1,36.060000000000000,40.170000000000000,120.910000000000000,0,529275.729623602000000,181020.816683935000000
16,0,0,0,1,32.430000000000000,32.430000000000000,116.530000000000000,0,529280.044654354000000,181023.740364360000000
17,2,0,2,1,29.430000000000000,29.430000000000000,112.610000000000000,1,529283.959171745000000,181026.061456743000000
18,2,0,2,1,26.940000000000000,26.940000000000000,108.830000000000000,1,529287.781336995000000,181028.380202862000000
19,1,0,1,1,25.420000000000000,25.420000000000000,105.570000000000000,1,529291.139873238000000,181030.761207388000000
20,1,0,1,1,25.790000000000000,25.790000000000000,103.480000000000000,1,529293.461862699000000,181033.930397737000000
21,0,0,0,1,48.880000000000000,48.880000000000000,65.820000000000000,0,529338.478354224000000,181056.036497690000000
22,0,0,0,1,46.770000000000000,46.770000000000000,61.820000000000000,0,529340.785094145000000,181051.726345339000000
23,1,0,1,1,58.180000000000000,44.460000000000000,124.830000000000000,1,529271.760778704000000,181027.731725489000000
24,0,0,0,1,54.640000000000000,40.640000000000000,127.800000000000000,0,529268.928333169000000,181031.602287159000000
25,0,0,0,1,51.640000000000000,42.510000000000000,129.960000000000000,0,529266.980488145000000,181034.963864254000000
26,0,0,0,1,37.300000000000000,37.300000000000000,133.370000000000000,0,529264.018025314000000,181039.863065929000000
27,0,0,0,1,32.940000000000000,32.940000000000000,136.370000000000000,0,529261.442583664000000,181043.492942021000000
